Timeindex,AIM_Gas_pressure_B2,AIM_H2_flow,AIM_SCR_Set_Point,AIM_Stack_1_temp,AIM_Stack_Current,AIM_Voltage_Cell,Temp. cat,Cell voltage [V],Current Density $[mA/cm^2]$,H2 power,Stack power consumption [W],efficiency,Pres. cat [bar],Hydrogen molar flow [mol/s],Current from faraday [A],J from faraday $[mA/cm^2]$
2023-06-22 16:44:00,4.91,0.64,34.8,54.0,11.0,264.5,50,1.653125,24.444444444444443,1917.6748799999998,2909.5,0.6591080529300567,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:45:00,4.885,0.64,34.71,54.0,9.0,263.0,50,1.64375,20.0,1917.6748799999998,2367.0,0.810171051964512,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:46:00,4.82,0.89,39.895,54.0,14.0,283.0,50,1.76875,31.11111111111111,2666.7666299999996,3962.0,0.6730859742554265,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:47:00,4.85,1.08,41.795,54.0,17.0,289.0,50,1.80625,37.77777777777778,3236.0763599999996,4913.0,0.6586762385507835,4.5,0.013485,16.26628125,36.14729166666666
2023-06-22 16:48:00,4.93,0.7,36.115,54.0,10.0,271.0,50,1.69375,22.22222222222222,2097.4568999999997,2710.0,0.7739693357933578,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:49:00,4.89,0.57,32.635,54.0,8.0,251.5,50,1.571875,17.77777777777778,1707.9291899999996,2012.0,0.8488713667992046,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:50:00,4.81,1.02,41.32,54.0,16.0,286.0,50,1.7875,35.55555555555556,3056.29434,4576.0,0.6678964903846154,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 16:51:00,4.89,0.83,39.35,54.0,13.0,283.0,50,1.76875,28.88888888888889,2486.9846099999995,3679.0,0.6759947295460722,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 16:52:00,4.93,0.57,32.385,54.0,9.0,252.0,50,1.575,20.0,1707.9291899999996,2268.0,0.7530551984126982,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:53:00,4.815,0.89,40.22,54.0,15.0,282.0,50,1.7625,33.333333333333336,2666.7666299999996,4230.0,0.6304412836879432,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:54:00,4.86,0.96,41.13,54.0,16.0,289.0,50,1.80625,35.55555555555556,2876.5123199999994,4624.0,0.622083114186851,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:55:00,4.87,0.83,38.68,54.0,13.0,280.0,50,1.75,28.88888888888889,2486.9846099999995,3640.0,0.6832375302197801,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 16:56:00,4.885,0.7,36.905,54.0,11.0,273.0,50,1.70625,24.444444444444443,2097.4568999999997,3003.0,0.6984538461538461,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:57:00,4.83,0.96,40.85,54.0,15.0,286.0,50,1.7875,33.333333333333336,2876.5123199999994,4290.0,0.6705156923076921,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:58:00,4.93,0.76,36.625,54.0,12.0,274.0,50,1.7125,26.666666666666668,2277.23892,3288.0,0.692590912408759,4.5,0.009489444444444444,11.446642361111111,25.436983024691358
2023-06-22 16:59:00,4.875,0.57,33.29,54.0,9.0,256.0,50,1.6,20.0,1707.9291899999996,2304.0,0.7412887109374998,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:00:00,4.82,1.02,41.35,54.0,15.0,288.0,50,1.8,33.333333333333336,3056.29434,4320.0,0.7074755416666666,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:01:00,4.89,0.83,38.86,54.0,13.0,282.0,50,1.7625,28.88888888888889,2486.9846099999995,3666.0,0.6783918739770866,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 17:02:00,4.85,0.7,35.96,54.0,11.0,269.0,50,1.68125,24.444444444444443,2097.4568999999997,2959.0,0.7088397769516728,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 17:03:00,4.88,0.89,39.41,54.0,15.0,284.0,50,1.775,33.333333333333336,2666.7666299999996,4260.0,0.6260015563380281,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:04:00,4.84,0.96,40.13,54.0,15.0,284.0,50,1.775,33.333333333333336,2876.5123199999994,4260.0,0.6752376338028168,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 17:05:00,4.9,0.7,36.56,54.0,11.0,272.0,50,1.7,24.444444444444443,2097.4568999999997,2992.0,0.7010216911764705,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 17:06:00,4.85,0.64,33.7,54.0,9.0,260.0,50,1.625,20.0,1917.6748799999998,2340.0,0.8195191794871794,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 17:07:00,4.835,0.96,40.72,54.0,15.0,287.0,50,1.79375,33.333333333333336,2876.5123199999994,4305.0,0.668179400696864,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 17:08:00,4.89,0.89,39.51,54.0,14.0,284.0,50,1.775,31.11111111111111,2666.7666299999996,3976.0,0.6707159532193158,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:09:00,4.93,0.57,31.54,54.0,10.0,248.0,50,1.55,22.22222222222222,1707.9291899999996,2480.0,0.6886811249999999,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:10:00,4.85,0.83,39.28,54.0,14.0,282.0,50,1.7625,31.11111111111111,2486.9846099999995,3948.0,0.6299353115501518,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 17:11:00,4.84,1.08,42.275,54.0,16.0,292.0,50,1.825,35.55555555555556,3236.0763599999996,4672.0,0.692653330479452,4.5,0.013485,16.26628125,36.14729166666666
2023-06-22 17:12:00,4.93,0.57,32.91,54.0,10.0,257.0,50,1.60625,22.22222222222222,1707.9291899999996,2570.0,0.664563887159533,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:13:00,4.845,0.89,39.61,54.0,14.0,283.0,50,1.76875,31.11111111111111,2666.7666299999996,3962.0,0.6730859742554265,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:14:00,4.81,1.02,41.78,54.0,16.0,289.0,50,1.80625,35.55555555555556,3056.29434,4624.0,0.6609633088235294,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:15:00,4.83,1.02,41.86,54.0,16.0,290.5,50,1.815625,35.55555555555556,3056.29434,4648.0,0.657550417383821,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:16:00,4.82,0.89,39.62,54.0,15.0,285.0,50,1.78125,33.333333333333336,2666.7666299999996,4275.0,0.6238050596491227,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:17:00,0.65,0.0,0.0,54.0,0.0,9.0,50,0.05625,0.0,0.0,0.0,,0.5,0.0,0.0,0.0
2023-06-22 17:18:00,0.06,0.57,33.01,54.0,9.0,256.0,50,1.6,20.0,1707.9291899999996,2304.0,0.7412887109374998,0.0,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:19:00,0.19,1.21,45.37,54.0,19.0,303.0,50,1.89375,42.22222222222222,3625.6040699999994,5757.0,0.6297731578947368,0.0,0.015108194444444441,18.22425954861111,40.49835455246913
2023-06-22 17:20:00,0.71,1.85,51.04,54.0,29.0,316.0,50,1.975,64.44444444444444,5543.27895,9164.0,0.6048973101265823,0.5,0.023099305555555557,27.863537326388887,61.91897183641975
